size_bytes,label,ns_per_access,l1_bytes,l2_bytes,l3_bytes,ram_bytes
4096,4K,0.7643917,131072,16777216,-1,38654705664
8192,8K,0.67425,131072,16777216,-1,38654705664
16384,16K,0.6738792,131072,16777216,-1,38654705664
32768,32K,0.6731334,131072,16777216,-1,38654705664
65536,64K,0.67135,131072,16777216,-1,38654705664
131072,128K,0.6789625,131072,16777216,-1,38654705664
262144,256K,5.89915,131072,16777216,-1,38654705664
524288,512K,6.1174333,131072,16777216,-1,38654705664
1048576,1M,6.1277959,131072,16777216,-1,38654705664
2097152,2M,6.1271084,131072,16777216,-1,38654705664
4194304,4M,7.187575,131072,16777216,-1,38654705664
8388608,8M,8.1830875,131072,16777216,-1,38654705664
16777216,16M,20.0933917,131072,16777216,-1,38654705664
33554432,32M,43.6735333,131072,16777216,-1,38654705664
67108864,64M,76.9590958,131072,16777216,-1,38654705664
134217728,128M,102.886128425598,131072,16777216,-1,38654705664
268435456,256M,105.189470481873,131072,16777216,-1,38654705664
